catch_name,Model_Name,ModelA,year,ModelB,CPU
Mid 2021,iMac 24 inch,-,2021,MGPD3J/A,Apple M1チップ
,,-,,MGPN3J/A,
,,-,,MGPL3J/A,
,,-,,MGPJ3J/A,
,,-,,MGPM3J/A,
,,-,,MGPK3J/A,
,,-,,MGPH3J/A,
,,-,,MGPC3J/A,
,,-,,MJVA3J/A,
,,-,,MJV83J/A,
,,-,,MJV93J/A,
,,-,,MGTF3J/A,
"Mid 2021 北米モデル",iMac 24 inch,A2438,2021,MGPD3LL/A,"Apple M1チップ 8-core GPU"
,,,,MGPN3LL/A,
,,,,MGPL3LL/A,
,,,,MGPJ3LL/A,
,,,,MGPM3LL/A,
,,,,MGPK3LL/A,
,,,,MGPH3LL/A,
,,,,MGPC3LL/A,
,,,,MGPF3LL/A,
,,,,"MGPG3LL/A",
,,,,MGPP3LL/A,
,,,,"MGPQ3LL/A",
,,A2439,,MJVA3LL/A,"Apple M1チップ 7-core GPU"
,,,,MJV83LL/A,
,,,,MJV93LL/A,
,,,,MGTF3LL/A,
Mid 2020,iMac Pro 27 inch,-,2020,MHLV3J/A,Xeon W 3GHz
,iMac 27 inch,-,,MXWV2J/A,Core i7 3.8GHz
,,-,,MXWU2J/A,Core i5 3.3GHz
,,-,,MXWT2J/A,Core i5 3.1GHz
,iMac 21.5 inch,-,,MHK33J/A,Core i5 3GHz
,,-,,MHK23J/A,Core i3 3.6GHz
,,-,,MHK03J/A,Core i5 2.3Ghz
"Mid 2020 北米モデル",iMac Pro 27 inch,A1862,2020,MHLV3LL/A,10-Core 3.0 GHz Intel Xeon W
,iMac 27 inch,A2115,,MXWV2LL/A,Core i7 3.8GHz
,,,,MXWU2LL/A,Core i5 3.3GHz
,,,,MXWT2LL/A,Core i5 3.1GHz
,iMac 21.5 inch,A2116,,MHK33LL/A,Core i5 3GHz
,,A2116,,MHK23LL/A,Core i3 3.6GHz
,,A1418,,MHK03LL/A,Core i5 2.3Ghz
Early 2019,iMac 27 inch,-,2019,MRR12J/A,Core i5 3.7GHz
,,-,,MRR02J/A,Core i5 3.1GHz
,,-,,MRQY2J/A,Core i5 3GHz
,iMac 21.5 inch,-,,MRT42J/A,
,,-,,MRT32J/A,Core i3 3.6GHz
"Early 2019 北米モデル",iMac 27 inch,A2115,2019,MRR12LL/A,Core i5 3.7GHz
,,,,MRR02LL/A,Core i5 3.1GHz
,,,,MRQY2LL/A,Core i5 3.0GHz
,iMac 21.5 inch,A2116,,MRT42LL/A,Core i5 3.0GHz
,,,,MRT32LL/A,Core i3 3.6GHz
Late 2012,iMac 21.5 inch,A1311,2012,MC812J/A,Core i5-2500S 2.7GHz
Late 2011,iMac 21.5 inch,A1311,2011,MC309J/A,Core i5-2400S 2.5GHz
Mid 2011,iMac 27 inch,A1312,2011,MC814J/A,Core i5-2400 3.1GHz
,,,,MC813J/A,Core i5-2500S 2.7GHz
Late 2010,iMac 21.5 inch,A1311,2010,MC508J/A,Core i3 3.06GHz
,,,,MC509J/A,Core i3 3.2GHz
Mid 2010,iMac 27 inch,A1312,2010,MC510J/A,Core i3 3.2GHz
,,,,MC511J/A,Core i5 2.8GHz
Late 2009,iMac 21.5 inch,A1311,2009,MC413J/A,Core 2 Duo 3.06GHz
,,,,MB950J/A,
,iMac 27 inch,A1312,,MB953J/A,Core i5-750 2.66GHz
,,,,MB952J/A,Core 2 Duo 3.06GHz
Early 2009,iMac 20 inch,A1224,2009,MB417J/A,Core 2 Duo 2.66GHz
,iMac 24 inch,A1225,,MB418J/A,
,,,,MB419J/A,Core 2 Duo 2.93GHz
,,,,MB420J/A,Core 2 Duo 3.06GHz
Early 2008,iMac 20 inch,A1224,2008,MB323J/A,Core 2 Duo 2.4GHz
,,,,MB324J/A,Core 2 Duo 2.66GHz
,iMac 24 inch,A1225,,MB325J/A,Core2 Duo 2.8GHz
Mid 2007,iMac 20 inch,A1224,2007,MA876J/A,Core 2 Duo 2GHz
,,,,MA877J/A,Core 2 Duo 2.4GHz
,iMac 24 inch,A1225,,MA878J/A,
Late 2006 CD,iMac 20 inch,A1195,2006,MA710J/A,Core 2 Duo 1.83GHz
