name,price,junk,year,model,mid_model,big_model
"結構便利、動作確認済み♥️まだまだ元気☺️ルンバ577 2010年製の画像 12,999円",12999,False,2010.0,577,570.0,500.0
"ルンバ536 ピンクリボンモデル 2011年製 ジャンクの画像 2,200円",2200,True,2011.0,536,530.0,500.0
"iRobot Roomba ルンバ 本体のみ 2011年製 送料込の画像 3,590円",3590,False,2011.0,,,
"ルンバ770 2012年製造 2台の画像 20,000円",20000,False,2012.0,770,770.0,700.0
"IROBOT 780 ルンバ 2012年製 当時の最上位機種の画像 7,500円",7500,False,2012.0,780,780.0,700.0
"2012年製 iRobot ルンバ 780の画像 9,000円",9000,False,2012.0,780,780.0,700.0
"ミッフィー ルンバ 2012年フジパン 90周年記念の画像 45,998円",45998,False,2012.0,,,
"iRobot Roomba780 ルンバ780 2012年製 バッテリー新品の画像 21,111円",21111,False,2012.0,780,780.0,700.0
"【ジャンク品】IROBOT ルンバ620 2013年製の画像 2,170円",2170,True,2013.0,620,620.0,600.0
"ルンバ780 2013年製の画像 10,500円",10500,False,2013.0,780,780.0,700.0
"人気 IROBOT ルンバ770  2013年製の画像 8,799円",8799,False,2013.0,770,770.0,700.0
"ルンバ Rumba 2015年製の画像 6,980円",6980,False,2015.0,,,
"IROBOT ルンバ621 2015年製の画像 4,000円",4000,False,2015.0,621,620.0,600.0
"アイロボット 自動掃除機 ルンバ(2016年製)の画像 20,000円",20000,False,2016.0,,,
"★iRobot Roomba ルンバ 625 ロボット掃除機 2016年 送料込の画像 8,555円",8555,False,2016.0,625,620.0,600.0
"アイロボットルンバ中古2016年購入の画像 12,300円",12300,False,2016.0,,,
"B5 アイロボット ルンバ 680 2016年製 ロボット掃除機の画像 8,688円",8688,False,2016.0,680,680.0,600.0
"2016年 ルンバ 654 iRobot Roomba ロボット掃除機 【中古】の画像 26,900円",26900,False,2016.0,654,650.0,600.0
"アイロボット ブラーバ 380J 2016年製 240分稼働確認 ルンバ 掃除機の画像 19,200円",19200,False,2016.0,,,
"140分動作確認済み 2016年製 日本正規品の美品 iRobot ルンバ960の画像 26,200円",26200,False,2016.0,960,960.0,900.0
"【直接引き取り限定】iRobot ルンバ 600 (2016年製)の画像 1,480円",1480,False,2016.0,,,
"ルンバ iRobot Roomba 600 626 2016年製 日本正規品の画像 7,333円",7333,False,2016.0,626,620.0,600.0
"IRobotルンバ626(2016年式)の画像 12,600円",12600,False,2016.0,626,620.0,600.0
"アイロボット ブラーバ 380J 2017年製 240分稼働確認 ルンバ 掃除機の画像 15,300円",15300,False,2017.0,,,
"アイロボット ブラーバ 380J 2017年製 240分稼働確認 ルンバ 掃除機の画像 27,800円",27800,False,2017.0,,,
"iRobot アイロボット☆ルンバ 628  2017年製の画像 8,300円",8300,False,2017.0,628,620.0,600.0
"IROBOT ルンバ 870  2017年製の画像 8,999円",8999,False,2017.0,870,870.0,800.0
"iRobot ルンバ 2017年製 MA 01730 USA 中古 簡易動確済の画像 12,000円",12000,False,2017.0,,,
"アイロボット ブラーバ 380J 2017年製 240分稼働確認 ルンバ 掃除機の画像 14,300円",14300,False,2017.0,,,
"IROBOT ルンバ 876  美品 2018年9月購入品の画像 21,000円",21000,False,2018.0,876,870.0,800.0
"新品・未開封 ルンバ i7 2019年フラッグシップモデルの画像 45,000円",45000,False,2019.0,,,
"【2019年製】アイロボットRoom i7 RVB-Y2の画像 59,000円",59000,False,2019.0,,,
"IROBOT ルンバ 960   5年保証中(2020年12月から)の画像 44,600円",44600,False,2020.0,960,960.0,900.0
"ルンバe5 2020年購入 使用少! 美品! アイロボット e5150 取説付きの画像 21,500円",21500,False,2020.0,,,
"IROBOT ルンバ980 2020年8月購入 美品の画像 48,000円",48000,False,2020.0,980,980.0,900.0
"美品 iRobot ルンバ960 バッテリー100分動作品 2021年製の画像 26,300円",26300,False,2021.0,960,960.0,900.0
"IROBOT  2021年最新ロボット掃除機ルンバ  i3+ i3550の画像 80,000円",80000,False,2021.0,,,
"【新品未使用品】iRobot ルンバ i2 2022年7月発売モデルの画像 36,999円",36999,False,2022.0,,,
"IROBOT ルンバ E5 2022年購入の画像 33,000円",33000,False,2022.0,,,
"【2022年9月購入】IROBOT ルンバ E5の画像 27,000円",27000,False,2022.0,,,
"IROBOT ルンバ 870 2022年3月純正バッテリー交換の画像 8,500円",8500,False,2022.0,870,870.0,800.0
