name,price,junk,year,model,mid_model,big_model
"IROBOT ルンバ 870 2022年3月純正バッテリー交換の画像 8,500円",8500,False,2022.0,870,870.0,800.0
"IROBOT Roomba ルンバ 628の画像 11,900円",11900,False,,628,620.0,600.0
"IROBOT ルンバ 885の画像 9,000円",9000,False,,885,880.0,800.0
"IROBOT ルンバ i7+ アイロボット 全自動掃除機【新品・未開封】の画像 85,200円",85200,False,,,,
"ルンバ i7 ロボット掃除機 アイロボット  i715060【新品・未開封】の画像 46,300円",46300,False,,715,710.0,700.0
"ルンバ700シリーズ ACアダプターの画像 1,900円",1900,False,,,,
"ルンバ700シリーズ 付属品の画像 1,500円",1500,False,,,,
"IROBOT ルンバ 621 中古品の画像 5,500円",5500,False,,621,620.0,600.0
"ルンバ 960の画像 18,000円",18000,False,,960,960.0,900.0
"●iRobot ルンバ掃除機●885●ブラック●ロボット掃除機 ●アイロボットの画像 14,200円",14200,False,,885,880.0,800.0
"IRobotルンバ875の画像 17,000円",17000,False,,875,870.0,800.0
"ルンバi7 バーチャルウォール2個・フィルター2個付 iRobotの画像 36,500円",36500,False,,,,
"ルンバ ダストボックスの画像 4,100円",4100,False,,,,
"IROBOT ルンバ I7+の画像 68,000円",68000,False,,,,
"ルンバ i2  i215860の画像 35,000円",35000,False,,215860,210.0,200.0
"【美品 中古】IROBOT ルンバ 780の画像 9,480円",9480,False,,780,780.0,700.0
"美品☺️IROBOT ルンバ892 新品未使用付属品多数の画像 15,280円",15280,False,,892,890.0,800.0
"★美品★ルンバ Roomba 870 バッテリー100分可動の画像 13,999円",13999,False,,870,870.0,800.0
"ルンバ 692 お掃除ロボット ルンバ 新品未使用の画像 30,640円",30640,False,,692,690.0,600.0
"新品 ルンバ Roomba i7  i715060 ロボット 掃除機の画像 52,800円",52800,False,,715,710.0,700.0
"iRobot ルンバi3の画像 35,000円",35000,False,,,,
"✨格安✨ ★美品★Roomba 780 お手持ちのルンバのバージョンアップの画像 4,999円",4999,False,,780,780.0,700.0
"IROBOT ルンバ E5 ジャンクの画像 8,000円",8000,True,,,,
"ルンバ i2 新品未使用 3年保証付の画像 34,000円",34000,False,,,,
"IROBOT ルンバ980の画像 28,000円",28000,False,,980,980.0,900.0
"ルンバ 985 アイロボット ロボット掃除機 【Alexa対応】新品未使用の画像 57,480円",57480,False,,985,980.0,900.0
"ルンバ j7 ロボット掃除機 j715860 アイロボットの画像 76,800円",76800,False,,715860,710.0,700.0
"【中古】iRobot Roomba ルンバ621 本体のみ ロボット掃除機の画像 5,500円",5500,False,,621,620.0,600.0
"アイロボット ブラーバ 380J 2017年製 240分稼働確認 ルンバ 掃除機の画像 27,800円",27800,False,2017.0,,,
"ルンバ リモナビの画像 1,300円",1300,False,,,,
"ルンバ i7+ ロボット掃除機 アイロボット i755060 Alexa対応の画像 74,100円",74100,False,,755,750.0,700.0
"上位機種なのでハイパワー iRobotルンバ960 ロボット掃除機 スマート家電の画像 28,000円",28000,False,,960,960.0,900.0
"アイロボット ルンバ980の画像 27,800円",27800,False,,980,980.0,900.0
"【壊れています】ルンバ IROBOTの画像 2,400円",2400,False,,,,
"iRobot社 ロボット掃除機 ルンバe5 チャコール e515060の画像 28,000円",28000,False,,515,510.0,500.0
"ルンバ メインブラシモジュール 中古品 大量30個セットの画像 3,999円",3999,False,,,,
"【美品/スマホ連携】ルンバ Roomba 691 バッテリー100分可動の画像 14,999円",14999,False,,691,690.0,600.0
"★美品★ルンバ Roomba 880 バッテリー100分可動の画像 14,999円",14999,False,,880,880.0,800.0
"⭐️格安美品⭐️ルンバ 538 バッテリー100分可動確認済の画像 9,899円",9899,False,,538,530.0,500.0
"IROBOT アイロボット 【ルンバ Roomba960】の画像 19,500円",19500,False,,960,960.0,900.0
"21年製ルンバ980 4の画像 36,999円",36999,False,,980,980.0,900.0
"未使用未開封 ルンバ 692 Roombaの画像 31,600円",31600,False,,692,690.0,600.0
"ルンバ バーチャルウォールの画像 3,000円",3000,False,,,,
"整備済み品☆iRobot☆ルンバ890☆美品の画像 12,770円",12770,False,,890,890.0,800.0
"【整備済み品】IROBOT ルンバ i7 美品の画像 31,880円",31880,False,,,,
"IROBOT ルンバ I7の画像 67,000円",67000,False,,,,
"ルンバ770【バッテリー交換済】の画像 4,500円",4500,False,,770,770.0,700.0
"新品 ルンバ E5 I ROBOT 掃除機 Wifi 時短家電の画像 29,000円",29000,False,,,,
"【ジャンク】ルンバ I7の画像 18,999円",18999,True,,,,
"iRobot ルンバ バーチャルウォール ゴミフィルター(2個)の画像 1,170円",1170,False,,,,
"新品 iRobot ロボット掃除機 ルンバe5 (国内正規品) e515060の画像 27,500円",27500,False,,515,510.0,500.0
"IROBOT ルンバ E5の画像 15,000円",15000,False,,,,
