label,price,url
"IROBOT ルンバ 870　2022年3月純正バッテリー交換の画像 8,500円",8500,https://jp.mercari.com/item/m74160819609
"IROBOT Roomba ルンバ 628の画像 11,900円",11900,https://jp.mercari.com/item/m66740572780
"IROBOT ルンバ 885の画像 9,000円",9000,https://jp.mercari.com/item/m54318325932
"IROBOT ルンバ i7+ アイロボット 全自動掃除機【新品・未開封】の画像 85,200円",85200,https://jp.mercari.com/item/m91000761785
"ルンバ i7 ロボット掃除機 アイロボット  i715060【新品・未開封】の画像 46,300円",46300,https://jp.mercari.com/item/m78249226625
"ルンバ700シリーズ　ACアダプターの画像 1,900円",1900,https://jp.mercari.com/item/m28128877564
"ルンバ700シリーズ　付属品の画像 1,500円",1500,https://jp.mercari.com/item/m86362444642
"IROBOT ルンバ 621 中古品の画像 5,500円",5500,https://jp.mercari.com/item/m45375792652
"ルンバ 960の画像 18,000円",18000,https://jp.mercari.com/item/m33107842657
"●iRobot ルンバ掃除機●885●ブラック●ロボット掃除機 ●アイロボットの画像 14,200円",14200,https://jp.mercari.com/item/m31245232209
"IRobotルンバ875の画像 17,000円",17000,https://jp.mercari.com/item/m65944869411
"ルンバi7 バーチャルウォール2個・フィルター2個付 iRobotの画像 36,500円",36500,https://jp.mercari.com/item/m14634267299
"ルンバ ダストボックスの画像 4,100円",4100,https://jp.mercari.com/item/m97319333347
"IROBOT ルンバ I7+の画像 68,000円",68000,https://jp.mercari.com/item/m15457642421
"ルンバ i2  i215860の画像 35,000円",35000,https://jp.mercari.com/item/m97523969285
"【美品　中古】IROBOT ルンバ　780の画像 9,480円",9480,https://jp.mercari.com/item/m38373980008
"美品☺️IROBOT ルンバ892 新品未使用付属品多数の画像 15,280円",15280,https://jp.mercari.com/item/m72519389571
"★美品★ルンバ Roomba 870 バッテリー100分可動の画像 13,999円",13999,https://jp.mercari.com/item/m77690870400
"ルンバ 692 お掃除ロボット ルンバ 新品未使用の画像 30,640円",30640,https://jp.mercari.com/item/m94970230656
"新品 ルンバ Roomba i7  i715060 ロボット 掃除機の画像 52,800円",52800,https://jp.mercari.com/item/m37480777028
